stockid,date,eventdate,sreturn,mreturn
600028,2023-01-03,2026-02-28,0.009174,0.004201
600028,2023-01-04,2026-02-28,0.002273,0.001299
600028,2023-01-05,2026-02-28,-0.004535,0.019427
600028,2023-01-06,2026-02-28,-0.002278,0.003102
600028,2023-01-09,2026-02-28,0.0,0.008096
600028,2023-01-10,2026-02-28,-0.002283,0.001085
600028,2023-01-11,2026-02-28,0.009153,-0.001853
600028,2023-01-12,2026-02-28,0.006803,0.001955
600028,2023-01-13,2026-02-28,0.002252,0.014064
600028,2023-01-16,2026-02-28,0.004494,0.015607
600028,2023-01-17,2026-02-28,-0.004474,-0.000174
600028,2023-01-18,2026-02-28,0.004494,-0.001675
600028,2023-01-19,2026-02-28,0.004474,0.006221
600028,2023-01-20,2026-02-28,0.011136,0.00614
600028,2023-01-30,2026-02-28,-0.004405,0.004739
600028,2023-01-31,2026-02-28,0.0,-0.010589
600028,2023-02-01,2026-02-28,0.0,0.0094
600028,2023-02-02,2026-02-28,0.0,-0.003523
600028,2023-02-03,2026-02-28,-0.011062,-0.009451
600028,2023-02-06,2026-02-28,0.004474,-0.01322
600028,2023-02-07,2026-02-28,0.002227,0.0018
600028,2023-02-08,2026-02-28,0.002222,-0.004419
600028,2023-02-09,2026-02-28,0.0,0.013423
600028,2023-02-10,2026-02-28,-0.002217,-0.005942
600028,2023-02-13,2026-02-28,-0.002222,0.009075
600028,2023-02-14,2026-02-28,0.004454,0.000414
600028,2023-02-15,2026-02-28,0.0,-0.005211
600028,2023-02-16,2026-02-28,0.0,-0.007324
600028,2023-02-17,2026-02-28,0.002217,-0.014408
600028,2023-02-20,2026-02-28,0.022124,0.024534
600028,2023-02-21,2026-02-28,0.015152,0.002628
600028,2023-02-22,2026-02-28,-0.008529,-0.009025
600028,2023-02-23,2026-02-28,0.0,-0.000805
600028,2023-02-24,2026-02-28,-0.004301,-0.010381
600028,2023-02-27,2026-02-28,-0.00432,-0.004236
600028,2023-02-28,2026-02-28,0.010846,0.006334
600028,2023-03-01,2026-02-28,0.019313,0.014125
