Stkcd,Stknme,Annctime,Type,Suspdate_start,Susptime,Suspdate_end,Resmdate,Resmtime,Timeperd,Reason,
1,深发展A,2003/2/26,1,2003/2/26,9:30,2003/2/26,2003/2/27,9:30,4,停牌记录（信息披露不规范被临时停牌）等;,
1,深发展A,2003/2/27,1,2003/2/27,9:30,2003/2/27,2003/2/28,9:30,4,被临时停牌刊登的澄清公告等;,
1,深发展A,2003/2/28,1,2003/2/28,9:30,2003/2/28,2003/2/28,10:30,1,被临时停牌刊登的澄清公告等;,
1,深发展A,2003/4/24,1,2003/4/24,9:30,2003/4/24,2003/4/24,10:30,1,年度报告等;,
1,深发展A,2003/5/12,1,2003/5/12,9:30,2003/5/12,2003/5/12,10:30,1,其它董事会（决议）公告等;,
1,深发展A,2003/6/17,1,2003/6/17,9:30,2003/6/17,2003/6/17,10:30,1,上市公司收购报告书等;,
1,深发展A,2003/7/3,1,2003/7/3,9:30,2003/7/3,2003/7/3,10:30,1,业绩预增公告等;,
1,深发展A,2003/8/20,1,2003/8/20,9:30,2003/8/20,2003/8/20,10:30,1,中期报告等;,
1,深发展A,2003/8/26,1,2003/8/26,9:30,2003/8/26,2003/8/27,9:30,4,因召开股东大会;;,
1,深发展A,2003/10/16,1,2003/10/16,9:30,2003/10/16,2003/10/17,9:30,4,因召开股东大会;;,
1,深发展A,2003/10/29,1,2003/10/29,9:30,2003/10/29,2003/10/29,10:30,1,第三季报等;,
1,深发展A,2003/10/31,1,2003/10/31,9:30,2003/10/31,2003/10/31,10:30,1,上市公司发生重大诉讼或仲裁事项被受理等;,
1,深发展A,2004/4/15,1,2004/4/15,9:30,2004/4/15,2004/4/15,10:30,1,进展情况。年度报告。年度报告董事会决议;,
1,深发展A,2004/6/3,1,2004/6/3,9:30,2004/6/3,2004/6/3,10:30,1,股东持股变动报告书;,
1,深发展A,2004/6/30,1,2004/6/30,9:30,2004/6/30,2004/7/1,9:30,4,因召开股东大会;;,
1,深发展A,2004/8/31,1,2004/8/31,9:30,2004/8/31,2004/8/31,10:30,1,半年度报告。半年度报告董事会决议公告;,
1,深发展A,2004/11/5,1,2004/11/5,9:30,2004/11/5,2004/11/5,10:30,1,被收购公司董事会报告书;,
1,深发展A,2004/12/13,1,2004/12/13,9:30,2004/12/13,2004/12/14,9:30,4,因召开股东大会;;,
1,深发展A,2005/1/11,1,2005/1/11,9:30,2005/1/11,2005/1/12,9:30,4,因召开股东大会;;,
1,深发展A,2005/4/21,1,2005/4/21,9:30,2005/4/21,2005/4/22,9:30,4,因某媒体报道了公司尚未披露的相关信息;,
1,深发展A,2005/4/22,1,2005/4/22,9:30,2005/4/22,2005/4/22,10:30,1,被临时停牌的澄清公告;,
1,深发展A,2005/6/17,1,2005/6/17,9:30,2005/6/19,2005/6/20,9:30,4,董事会决议会决议;,
1,深发展A,2005/8/19,1,2005/8/19,9:30,2005/8/19,2005/8/19,10:30,1,半年度报告;,
1,深发展A,2005/9/28,1,2005/9/28,9:30,2005/10/20,2005/10/21,9:30,48,不能如期刊登临时报告,
1,深发展A,2005/10/21,1,2005/10/21,9:30,2005/10/21,2005/10/21,10:30,1,董事会决议。生产经营情况环境发生重大变化;,
1,深发展A,2006/5/29,1,2006/5/29,9:30,2006/6/11,2006/6/12,9:30,40,股权分置改革相关股东会议通知;,
