"Indexcd","Trddt","Daywk","Opnindex","Hiindex","Loindex","Clsindex","Retindex"
"000001","1990-12-19","3","96.050","99.980","95.790","99.980",""
"000001","1990-12-20","4","104.300","104.390","99.980","104.390","0.044109"
"000001","1990-12-21","5","109.070","109.130","103.730","109.130","0.045407"
"000001","1990-12-24","1","113.570","114.550","109.130","114.550","0.049666"
"000001","1990-12-25","2","120.090","120.250","114.550","120.250","0.049760"
"000001","1990-12-26","3","125.270","125.270","120.250","125.270","0.041746"
"000001","1990-12-27","4","125.270","125.280","125.270","125.280","0.000080"
"000001","1990-12-28","5","126.390","126.450","125.280","126.450","0.009339"
"000001","1990-12-31","1","126.560","127.610","126.480","127.610","0.009174"
"000001","1991-01-02","3","127.610","128.840","127.610","128.840","0.009639"
"000001","1991-01-03","4","128.840","130.140","128.840","130.140","0.010090"
"000001","1991-01-04","5","131.270","131.440","130.140","131.440","0.009989"
"000001","1991-01-07","1","131.990","132.060","131.450","132.060","0.004717"
"000001","1991-01-08","2","132.620","132.680","132.060","132.680","0.004695"
"000001","1991-01-09","3","133.300","133.340","132.680","133.340","0.004974"
"000001","1991-01-10","4","133.930","133.970","133.340","133.970","0.004725"
"000001","1991-01-11","5","134.610","134.610","134.510","134.600","0.004703"
"000001","1991-01-14","1","134.110","135.190","134.110","134.670","0.000520"
"000001","1991-01-15","2","134.210","134.740","134.190","134.740","0.000520"
"000001","1991-01-16","3","134.190","134.740","134.140","134.240","-0.003711"
"000001","1991-01-17","4","133.670","134.250","133.650","134.250","0.000074"
"000001","1991-01-18","5","133.700","134.250","133.670","134.240","-0.000074"
"000001","1991-01-21","1","133.700","134.240","133.660","134.240","0.000000"
"000001","1991-01-22","2","133.720","134.240","133.660","133.720","-0.003874"
"000001","1991-01-23","3","133.170","133.720","133.140","133.170","-0.004113"
"000001","1991-01-24","4","132.610","133.170","132.570","132.610","-0.004205"
"000001","1991-01-25","5","132.050","132.070","132.030","132.050","-0.004223"
"000001","1991-01-28","1","131.460","131.550","131.460","131.460","-0.004468"
"000001","1991-01-29","2","130.950","130.970","130.950","130.950","-0.003880"
"000001","1991-01-30","3","130.440","130.950","130.410","130.440","-0.003895"
"000001","1991-01-31","4","129.930","130.460","129.930","129.970","-0.003603"
"000001","1991-02-01","5","129.500","129.970","129.450","129.510","-0.003539"
"000001","1991-02-04","1","129.050","129.580","129.050","129.050","-0.003552"
"000001","1991-02-05","2","128.560","128.580","128.530","128.580","-0.003642"
"000001","1991-02-06","3","129.130","129.150","128.060","129.140","0.004355"
"000001","1991-02-07","4","129.740","129.790","129.140","129.790","0.005033"
"000001","1991-02-08","5","130.360","130.390","129.790","130.380","0.004546"
"000001","1991-02-11","1","130.920","130.970","130.390","130.970","0.004525"
"000001","1991-02-12","2","131.540","131.560","130.970","131.350","0.002901"
"000001","1991-02-13","3","131.930","131.930","131.350","131.920","0.004340"
"000001","1991-02-14","4","132.530","132.530","132.300","132.530","0.004624"
"000001","1991-02-19","2","133.120","133.140","133.080","133.130","0.004527"
"000001","1991-02-20","3","133.630","133.670","133.130","133.670","0.004056"
"000001","1991-02-21","4","134.240","134.280","133.670","134.280","0.004563"
"000001","1991-02-22","5","134.850","134.870","134.280","134.870","0.004394"
"000001","1991-02-25","1","134.370","134.870","134.330","134.400","-0.003485"
"000001","1991-02-26","2","133.900","134.440","133.900","133.930","-0.003497"
"000001","1991-02-27","3","133.440","133.980","133.440","133.470","-0.003435"
"000001","1991-02-28","4","132.990","133.520","132.980","133.010","-0.003446"
