"Stkcd","Trddt","Dretwd","Dretnd"
"600028","2023-01-03","0.009174","0.009174"
"600028","2023-01-04","0.002273","0.002273"
"600028","2023-01-05","-0.004535","-0.004535"
"600028","2023-01-06","-0.002278","-0.002278"
"600028","2023-01-09","0.000000","0.000000"
"600028","2023-01-10","-0.002283","-0.002283"
"600028","2023-01-11","0.009153","0.009153"
"600028","2023-01-12","0.006803","0.006803"
"600028","2023-01-13","0.002252","0.002252"
"600028","2023-01-16","0.004494","0.004494"
"600028","2023-01-17","-0.004474","-0.004474"
"600028","2023-01-18","0.004494","0.004494"
"600028","2023-01-19","0.004474","0.004474"
"600028","2023-01-20","0.011136","0.011136"
"600028","2023-01-30","-0.004405","-0.004405"
"600028","2023-01-31","0.000000","0.000000"
"600028","2023-02-01","0.000000","0.000000"
"600028","2023-02-02","0.000000","0.000000"
"600028","2023-02-03","-0.011062","-0.011062"
"600028","2023-02-06","0.004474","0.004474"
"600028","2023-02-07","0.002227","0.002227"
"600028","2023-02-08","0.002222","0.002222"
"600028","2023-02-09","0.000000","0.000000"
"600028","2023-02-10","-0.002217","-0.002217"
"600028","2023-02-13","-0.002222","-0.002222"
"600028","2023-02-14","0.004454","0.004454"
"600028","2023-02-15","0.000000","0.000000"
"600028","2023-02-16","0.000000","0.000000"
"600028","2023-02-17","0.002217","0.002217"
"600028","2023-02-20","0.022124","0.022124"
"600028","2023-02-21","0.015152","0.015152"
"600028","2023-02-22","-0.008529","-0.008529"
"600028","2023-02-23","0.000000","0.000000"
"600028","2023-02-24","-0.004301","-0.004301"
"600028","2023-02-27","-0.004320","-0.004320"
"600028","2023-02-28","0.010846","0.010846"
"600028","2023-03-01","0.019313","0.019313"
"600028","2023-03-02","0.021053","0.021053"
"600028","2023-03-03","0.035052","0.035052"
"600028","2023-03-06","0.015936","0.015936"
"600028","2023-03-07","0.031373","0.031373"
"600028","2023-03-08","0.009506","0.009506"
"600028","2023-03-09","0.000000","0.000000"
"600028","2023-03-10","-0.018832","-0.018832"
"600028","2023-03-13","0.061420","0.061420"
"600028","2023-03-14","-0.001808","-0.001808"
"600028","2023-03-15","0.001812","0.001812"
"600028","2023-03-16","-0.014467","-0.014467"
"600028","2023-03-17","0.042202","0.042202"
"600028","2023-03-20","-0.003521","-0.003521"
"600028","2023-03-21","-0.015901","-0.015901"
"600028","2023-03-22","0.012567","0.012567"
"600028","2023-03-23","0.010638","0.010638"
"600028","2023-03-24","-0.031579","-0.031579"
"600028","2023-03-27","-0.030797","-0.030797"
"600028","2023-03-28","0.039252","0.039252"
"600028","2023-03-29","-0.016187","-0.016187"
"600028","2023-03-30","0.023766","0.023766"
"600028","2023-03-31","0.003571","0.003571"
"600028","2023-04-03","-0.010676","-0.010676"
"600028","2023-04-04","0.041367","0.041367"
"600028","2023-04-06","0.003454","0.003454"
"600028","2023-04-07","-0.017212","-0.017212"
"600028","2023-04-10","0.031524","0.031524"
"600028","2023-04-11","0.018676","0.018676"
"600028","2023-04-12","0.026667","0.026667"
"600028","2023-04-13","-0.014610","-0.014610"
"600028","2023-04-14","0.004942","0.004942"
"600028","2023-04-17","0.040984","0.040984"
"600028","2023-04-18","-0.003150","-0.003150"
"600028","2023-04-19","-0.007899","-0.007899"
"600028","2023-04-20","0.009554","0.009554"
"600028","2023-04-21","-0.014196","-0.014196"
"600028","2023-04-24","0.011200","0.011200"
"600028","2023-04-25","0.033228","0.033228"
"600028","2023-04-26","-0.003063","-0.003063"
"600028","2023-04-27","0.012289","0.012289"
